timestamp,generation_Wh
2018-10-03 07:50,2.33333
2018-10-03 07:55,2.41667
2018-10-03 08:00,3
2018-10-03 08:05,3
2018-10-03 08:10,4.66667
2018-10-03 08:15,9.25
2018-10-03 08:20,9.25
2018-10-03 08:25,8.08333
2018-10-03 08:30,7.41667
2018-10-03 08:35,7.41667
2018-10-03 08:40,7.5
2018-10-03 08:45,10
2018-10-03 08:50,10
2018-10-03 08:55,7.66667
2018-10-03 09:00,4.66667
2018-10-03 09:05,4.66667
2018-10-03 09:10,4.66667
2018-10-03 09:15,5.83333
2018-10-03 09:20,5.83333
2018-10-03 09:25,4.66667
2018-10-03 09:30,3.16667
2018-10-03 09:35,3.16667
2018-10-03 09:40,3.41667
2018-10-03 09:45,4.91667
2018-10-03 09:50,4.91667
2018-10-03 09:55,7.08333
2018-10-03 10:00,13.8333
2018-10-03 10:05,13.8333
2018-10-03 10:10,12.8333
2018-10-03 10:15,13.5
2018-10-03 10:20,13.5
2018-10-03 10:25,11
2018-10-03 10:30,8.16667
2018-10-03 10:35,8.16667
2018-10-03 10:40,8.41667
2018-10-03 10:45,11.3333
2018-10-03 10:50,11.3333
2018-10-03 10:55,9
2018-10-03 11:00,5.41667
2018-10-03 11:05,5.41667
2018-10-03 11:10,5.41667
2018-10-03 11:15,7.16667
2018-10-03 11:20,7.16667
2018-10-03 11:25,9.5
2018-10-03 11:30,18.3333
2018-10-03 11:35,18.3333
2018-10-03 11:40,15.25
2018-10-03 11:45,10.75
2018-10-03 11:50,10.75
2018-10-03 11:55,8.33333
2018-10-03 12:00,3.66667
2018-10-03 12:05,3.66667
2018-10-03 12:10,3.33333
2018-10-03 12:15,3.33333
2018-10-03 12:20,3.33333
2018-10-03 12:25,3.08333
2018-10-03 12:30,3.25
2018-10-03 12:35,3.25
2018-10-03 12:40,3.08333
2018-10-03 12:45,3.58333
2018-10-03 12:50,3.58333
2018-10-03 12:55,3.5
2018-10-03 13:00,4.41667
2018-10-03 13:05,4.41667
2018-10-03 13:10,4
2018-10-03 13:15,4.08333
2018-10-03 13:20,4.08333
2018-10-03 13:25,3.75
2018-10-03 13:30,3.75
2018-10-03 13:35,3.75
2018-10-03 13:40,3.33333
2018-10-03 13:45,3
2018-10-03 13:50,3
2018-10-03 13:55,2.75
2018-10-03 14:00,2.5
2018-10-03 14:05,2.5
2018-10-03 14:10,2.25
2018-10-03 14:15,2
2018-10-03 14:20,2
2018-10-03 14:25,1.75
2018-10-03 14:30,1.25
2018-10-03 14:35,1.25
2018-10-03 14:40,1.25
2018-10-03 14:45,1.5
2018-10-03 14:50,1.5
2018-10-03 14:55,1.5
2018-10-03 15:00,2.16667
2018-10-03 15:05,2.16667
2018-10-03 15:10,2.08333
2018-10-03 15:15,2.5
2018-10-03 15:20,2.5
2018-10-03 15:25,2.25
2018-10-03 15:30,2
2018-10-03 15:35,2
2018-10-03 15:40,2.08333
2018-10-03 15:45,3.83333
2018-10-03 15:50,3.83333
2018-10-03 15:55,3.33333
2018-10-03 16:00,2.33333
2018-10-03 16:05,2.33333
2018-10-03 16:10,2.25
2018-10-03 16:15,2.91667
2018-10-03 16:20,2.91667
2018-10-03 16:25,2.58333
2018-10-03 16:30,1.75
2018-10-03 16:35,1.75
2018-10-03 16:40,1.58333
2018-10-03 16:45,1.16667
2018-10-03 16:50,1.16667
2018-10-03 16:55,1
2018-10-03 17:00,0.666667
2018-10-03 17:05,0.666667
2018-10-03 17:10,0.583333
2018-10-03 17:15,0.25
2018-10-03 17:20,0.25
2018-10-03 17:25,0.166667
2018-10-04 06:20,0
2018-10-04 06:25,0
2018-10-04 06:30,0.166667
2018-10-04 06:35,0.25
2018-10-04 06:40,0.25
2018-10-04 06:45,0.25
2018-10-04 06:50,0.25
2018-10-04 06:55,0.25
2018-10-04 07:00,0.416667
2018-10-04 07:05,0.5
2018-10-04 07:10,0.5
2018-10-04 07:15,0.833333
2018-10-04 07:20,0.916667
2018-10-04 07:25,0.916667
2018-10-04 07:30,1.25
2018-10-04 07:35,1.41667
2018-10-04 07:40,1.41667
2018-10-04 07:45,1.33333
2018-10-04 07:50,1.41667
2018-10-04 07:55,1.41667
2018-10-04 08:00,2.16667
2018-10-04 08:05,2.5
2018-10-04 08:10,2.5
2018-10-04 08:15,3.08333
2018-10-04 08:20,3.5
2018-10-04 08:25,3.5
2018-10-04 08:30,6.08333
2018-10-04 08:35,7.25
2018-10-04 08:40,7.25
2018-10-04 08:45,10.8333
2018-10-04 08:50,12.5
2018-10-04 08:55,12.5
2018-10-04 09:00,13.3333
2018-10-04 09:05,14.5833
2018-10-04 09:10,14.5833
2018-10-04 09:15,14.6667
2018-10-04 09:20,15.5
2018-10-04 09:25,15.5
2018-10-04 09:30,15.75
2018-10-04 09:35,16.8333
2018-10-04 09:40,16.8333
2018-10-04 09:45,15.5
2018-10-04 09:50,16.3333
2018-10-04 09:55,16.3333
2018-10-04 10:00,11.3333
2018-10-04 10:05,11.1667
2018-10-04 10:10,11.1667
2018-10-04 10:15,16.5833
2018-10-04 10:20,19.1667
2018-10-04 10:25,19.1667
2018-10-04 10:30,20.4167
2018-10-04 10:35,22
