timestamp,irradiance W_m2
2018-12-01 08:18,6.103318
2018-12-01 08:20,7.088136
2018-12-01 08:22,6.43159
2018-12-01 08:24,7.088136
2018-12-01 08:26,8.401227
2018-12-01 08:28,9.057772
2018-12-01 08:30,8.072954
2018-12-01 08:32,7.744681
2018-12-01 08:34,6.759863
2018-12-01 08:36,8.729499
2018-12-01 08:38,8.072954
2018-12-01 08:40,9.386045
2018-12-01 08:42,9.714318
2018-12-01 08:44,11.027408
2018-12-01 08:46,9.057772
2018-12-01 08:48,12.340499
2018-12-01 08:50,12.668772
2018-12-01 08:52,13.325317
2018-12-01 08:54,14.310136
2018-12-01 08:56,16.279772
2018-12-01 08:58,17.921136
2018-12-01 09:00,20.547317
2018-12-01 09:02,26.456226
2018-12-01 09:04,23.501772
2018-12-01 09:06,28.754135
2018-12-01 09:08,35.976135
2018-12-01 09:10,38.93059
2018-12-01 09:12,34.334772
2018-12-01 09:14,42.213317
2018-12-01 09:16,36.304408
2018-12-01 09:18,31.380317
2018-12-01 09:20,28.09759
2018-12-01 09:22,22.845226
2018-12-01 09:24,21.860408
2018-12-01 09:26,18.905954
2018-12-01 09:28,21.203863
2018-12-01 09:30,28.754135
2018-12-01 09:32,34.991317
2018-12-01 09:34,38.274044
2018-12-01 09:36,35.976135
2018-12-01 09:38,35.976135
2018-12-01 09:40,35.976135
2018-12-01 09:42,36.960953
2018-12-01 09:44,36.304408
2018-12-01 09:46,27.441044
2018-12-01 09:48,24.814863
2018-12-01 09:50,22.845226
2018-12-01 09:52,22.845226
2018-12-01 09:54,21.860408
2018-12-01 09:56,21.203863
2018-12-01 09:58,20.547317
2018-12-01 10:00,22.516954
2018-12-01 10:02,18.905954
2018-12-01 10:04,16.608045
2018-12-01 10:06,18.577681
2018-12-01 10:08,19.890772
2018-12-01 10:10,18.577681
2018-12-01 10:12,20.219045
2018-12-01 10:14,24.158317
2018-12-01 10:16,29.738954
2018-12-01 10:18,32.365135
2018-12-01 10:20,39.258862
2018-12-01 10:22,41.556771
2018-12-01 10:24,48.122226
2018-12-01 10:26,56.000771
2018-12-01 10:28,60.268317
2018-12-01 10:30,56.329044
2018-12-01 10:32,63.879316
2018-12-01 10:34,67.162044
2018-12-01 10:36,61.581407
2018-12-01 10:38,59.940044
2018-12-01 10:40,61.90968
2018-12-01 10:42,61.581407
2018-12-01 10:44,58.29868
2018-12-01 10:46,60.268317
2018-12-01 10:48,56.985589
2018-12-01 10:50,55.672498
2018-12-01 10:52,55.015953
2018-12-01 10:54,49.763589
2018-12-01 10:56,46.480862
2018-12-01 10:58,46.15259
2018-12-01 11:00,42.54159
2018-12-01 11:02,40.571953
2018-12-01 11:04,40.900226
2018-12-01 11:06,38.274044
2018-12-01 11:08,37.945772
2018-12-01 11:10,29.410681
2018-12-01 11:12,24.158317
2018-12-01 11:14,25.799681
2018-12-01 11:16,24.48659
2018-12-01 11:18,24.814863
2018-12-01 11:20,24.48659
2018-12-01 11:22,25.799681
2018-12-01 11:24,28.425863
2018-12-01 11:26,32.036863
2018-12-01 11:28,35.976135
2018-12-01 11:30,36.632681
2018-12-01 11:32,35.31959
2018-12-01 11:34,42.869862
2018-12-01 11:36,36.304408
2018-12-01 11:38,38.602317
2018-12-01 11:40,33.349953
2018-12-01 11:42,35.647862
2018-12-01 11:44,35.647862
2018-12-01 11:46,32.365135
2018-12-01 11:48,26.127954
2018-12-01 11:50,26.456226
2018-12-01 11:52,30.395499
2018-12-01 11:54,31.70859
2018-12-01 11:56,30.395499
2018-12-01 11:58,30.723772
2018-12-01 12:00,30.067226
2018-12-01 12:02,31.052044
2018-12-01 12:04,33.349953
2018-12-01 12:06,31.052044
2018-12-01 12:08,38.602317
2018-12-01 12:10,37.617499
2018-12-01 12:12,44.511226
