timestamp,irradiance_W_per_m2
2018-10-27 04:22,4.790227
2018-10-27 04:24,5.118499
2018-10-27 04:26,3.805409
2018-10-27 04:28,3.805409
2018-10-27 04:30,4.133681
2018-10-27 04:32,4.461954
2018-10-27 04:34,4.790227
2018-10-27 04:36,4.133681
2018-10-27 04:38,3.805409
2018-10-27 04:40,1.507499
2018-10-27 04:42,3.805409
2018-10-27 04:44,3.148863
2018-10-27 04:46,2.492318
2018-10-27 04:48,4.461954
2018-10-27 04:50,4.133681
2018-10-27 04:52,4.133681
2018-10-27 04:54,4.133681
2018-10-27 04:56,3.148863
2018-10-27 04:58,4.790227
2018-10-27 05:00,4.133681
2018-10-27 05:02,3.148863
2018-10-27 05:04,4.790227
2018-10-27 05:06,5.446772
2018-10-27 05:08,2.492318
2018-10-27 05:10,5.118499
2018-10-27 05:12,3.477136
2018-10-27 05:14,3.805409
2018-10-27 05:16,3.148863
2018-10-27 05:18,3.148863
2018-10-27 05:20,4.790227
2018-10-27 05:22,3.805409
2018-10-27 05:24,1.835772
2018-10-27 05:26,2.492318
2018-10-27 05:28,3.148863
2018-10-27 05:30,4.133681
2018-10-27 05:32,4.461954
2018-10-27 05:34,4.790227
2018-10-27 05:36,4.461954
2018-10-27 05:38,5.775045
2018-10-27 05:40,4.133681
2018-10-27 05:42,3.805409
2018-10-27 05:44,0.850954
2018-10-27 05:46,3.148863
2018-10-27 05:48,3.477136
2018-10-27 05:50,3.148863
2018-10-27 05:52,4.461954
2018-10-27 05:54,3.148863
2018-10-27 05:56,3.805409
2018-10-27 05:58,4.461954
2018-10-27 06:00,4.461954
2018-10-27 06:02,4.133681
2018-10-27 06:04,4.790227
2018-10-27 06:06,3.805409
2018-10-27 06:08,3.477136
2018-10-27 06:10,5.118499
2018-10-27 06:12,3.805409
2018-10-27 06:14,4.461954
2018-10-27 06:16,3.805409
2018-10-27 06:18,5.446772
2018-10-27 06:20,2.82059
2018-10-27 06:22,3.805409
2018-10-27 06:24,3.477136
2018-10-27 06:26,3.805409
2018-10-27 06:28,4.133681
2018-10-27 06:30,3.148863
2018-10-27 06:32,3.148863
2018-10-27 06:34,4.461954
2018-10-27 06:36,4.790227
2018-10-27 06:38,3.148863
2018-10-27 06:40,4.790227
