timestamp,irradiance_W_per_m2
2018-09-25 09:06,411.191855
2018-09-25 09:08,418.085582
2018-09-25 09:10,424.322764
2018-09-25 09:12,426.2924
2018-09-25 09:14,430.559946
2018-09-25 09:16,434.827491
2018-09-25 09:18,439.095037
2018-09-25 09:20,440.7364
2018-09-25 09:22,443.690855
2018-09-25 09:24,446.973582
2018-09-25 09:26,452.882491
2018-09-25 09:28,454.195582
2018-09-25 09:30,458.134854
2018-09-25 09:32,466.998218
2018-09-25 09:34,470.937491
2018-09-25 09:36,474.876763
2018-09-25 09:38,478.487763
2018-09-25 09:40,480.457399
2018-09-25 09:42,484.396672
2018-09-25 09:44,485.709763
2018-09-25 09:46,489.649036
2018-09-25 09:48,496.871035
2018-09-25 09:50,499.497217
2018-09-25 09:52,500.153763
2018-09-25 09:54,505.734399
2018-09-25 09:56,508.360581
2018-09-25 09:58,508.688853
2018-09-25 10:00,515.582581
2018-09-25 10:02,474.54849
2018-09-25 10:04,526.087308
2018-09-25 10:06,525.430762
2018-09-25 10:08,526.41558
2018-09-25 10:10,531.011398
2018-09-25 10:12,533.309308
2018-09-25 10:14,536.592035
2018-09-25 10:16,543.157489
2018-09-25 10:18,540.203035
2018-09-25 10:20,549.722944
2018-09-25 10:22,548.409853
2018-09-25 10:24,549.722944
2018-09-25 10:26,552.349125
2018-09-25 10:28,554.647034
2018-09-25 10:30,553.990489
2018-09-25 10:32,556.616671
2018-09-25 10:34,558.586307
2018-09-25 10:36,548.738125
2018-09-25 10:38,552.677398
2018-09-25 10:40,557.273216
2018-09-25 10:42,558.586307
2018-09-25 10:44,559.242852
2018-09-25 10:46,561.540762
2018-09-25 10:48,561.869034
2018-09-25 10:50,560.555943
2018-09-25 10:52,558.91458
2018-09-25 10:54,563.182125
2018-09-25 10:56,566.793125
2018-09-25 10:58,562.853852
2018-09-25 11:00,562.853852
2018-09-25 11:02,569.091034
2018-09-25 11:04,571.717216
2018-09-25 11:06,571.388943
2018-09-25 11:08,588.459125
2018-09-25 11:10,588.130852
2018-09-25 11:12,599.620397
2018-09-25 11:14,586.817761
2018-09-25 11:16,589.443943
2018-09-25 11:18,593.711488
2018-09-25 11:20,592.070125
2018-09-25 11:22,598.963852
2018-09-25 11:24,597.322488
2018-09-25 11:26,596.994215
2018-09-25 11:28,594.696306
2018-09-25 11:30,568.106216
2018-09-25 11:32,586.489488
2018-09-25 11:34,594.696306
2018-09-25 11:36,595.681125
2018-09-25 11:38,595.681125
2018-09-25 11:40,594.696306
2018-09-25 11:42,592.398397
2018-09-25 11:44,593.054943
2018-09-25 11:46,602.574852
2018-09-25 11:48,599.620397
2018-09-25 11:50,598.963852
2018-09-25 11:52,598.963852
2018-09-25 11:54,594.039761
2018-09-25 11:56,596.009397
2018-09-25 11:58,591.413579
2018-09-25 12:00,513.941217
2018-09-25 12:02,567.121398
2018-09-25 12:04,588.459125
2018-09-25 12:06,594.039761
2018-09-25 12:08,591.413579
2018-09-25 12:10,598.963852
2018-09-25 12:12,589.11567
2018-09-25 12:14,587.474306
2018-09-25 12:16,586.817761
2018-09-25 12:18,589.443943
2018-09-25 12:20,589.772216
